County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage
Forsyth,2017,365.0,290.0,75.0,0.0,0.0,0.0,0.0,100.0,60.0,43.0,0.0,12.0,221.0,132.0,0.0,3.8666666666666667,0.0
Graham,2017,227.0,200.0,27.0,0.0,0.0,0.0,0.0,87.0,51.0,43.0,0.0,0.0,227.0,0.0,0.0,7.407407407407407,0.0
Granville,2017,243.0,210.0,33.0,0.0,0.0,0.0,0.0,93.0,51.0,43.0,0.0,0.0,243.0,0.0,0.0,6.363636363636363,0.0
Guilford,2017,365.0,289.0,75.0,1.0,0.0,0.0,0.0,112.0,59.0,42.0,0.0,0.0,201.0,149.0,15.0,3.8533333333333335,0.273972602739726
Haywood,2017,282.0,232.0,50.0,0.0,0.0,0.0,0.0,84.0,58.0,44.0,0.0,0.0,241.0,41.0,0.0,4.64,0.0
Hyde,2017,114.0,113.0,1.0,0.0,0.0,0.0,0.0,52.0,35.0,18.0,0.0,0.0,0.0,114.0,0.0,113.0,0.0
Jackson,2017,256.0,206.0,50.0,0.0,0.0,0.0,0.0,100.0,64.0,44.0,0.0,0.0,199.0,57.0,0.0,4.12,0.0
Johnston,2017,365.0,289.0,76.0,0.0,0.0,0.0,0.0,93.0,56.0,40.0,0.0,0.0,160.0,205.0,0.0,3.8026315789473686,0.0
Lee,2017,360.0,276.0,84.0,0.0,0.0,0.0,0.0,97.0,58.0,43.0,0.0,0.0,211.0,149.0,0.0,3.2857142857142856,0.0
Lenoir,2017,304.0,279.0,25.0,0.0,0.0,0.0,0.0,90.0,50.0,35.0,0.0,0.0,240.0,0.0,64.0,11.16,0.0
Lincoln,2017,238.0,207.0,31.0,0.0,0.0,0.0,0.0,93.0,54.0,42.0,0.0,0.0,238.0,0.0,0.0,6.67741935483871,0.0
Macon,2017,347.0,335.0,12.0,0.0,0.0,0.0,0.0,74.0,46.0,33.0,0.0,0.0,347.0,0.0,0.0,27.916666666666668,0.0
Martin,2017,244.0,231.0,13.0,0.0,0.0,0.0,0.0,74.0,48.0,38.0,0.0,0.0,244.0,0.0,0.0,17.76923076923077,0.0
Mitchell,2017,338.0,313.0,25.0,0.0,0.0,0.0,0.0,93.0,47.0,25.0,0.0,0.0,0.0,338.0,0.0,12.52,0.0
Montgomery,2017,365.0,343.0,22.0,0.0,0.0,0.0,0.0,71.0,49.0,38.0,0.0,0.0,270.0,95.0,0.0,15.590909090909092,0.0
Person,2017,242.0,220.0,22.0,0.0,0.0,0.0,0.0,74.0,50.0,41.0,0.0,0.0,242.0,0.0,0.0,10.0,0.0
Rockingham,2017,240.0,208.0,32.0,0.0,0.0,0.0,0.0,84.0,54.0,42.0,0.0,0.0,240.0,0.0,0.0,6.5,0.0
Rowan,2017,355.0,331.0,24.0,0.0,0.0,0.0,0.0,80.0,49.0,38.0,0.0,0.0,355.0,0.0,0.0,13.791666666666666,0.0
