County,Year,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,90th Percentile AQI,Predicted_Unhealthy_Days_Percentage
Mecklenburg,2023,0,1,218,108,0,71.0,3.021586738624155
Wake,2023,0,2,175,148,0,63.0,0.9263511801271047
