Date,Source,Site ID,POC,PM10,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/24/2023,AQS,371190041,4,9,ug/m3 SC,8,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/25/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/26/2023,AQS,371190041,4,6,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/27/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/28/2023,AQS,371190041,4,7,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/29/2023,AQS,371190041,4,13,ug/m3 SC,12,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/30/2023,AQS,371190041,4,12,ug/m3 SC,11,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/31/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/1/2023,AQS,371190041,4,5,ug/m3 SC,5,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/2/2023,AQS,371190041,4,4,ug/m3 SC,4,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/3/2023,AQS,371190041,4,6,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/4/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/5/2023,AQS,371190041,4,11,ug/m3 SC,10,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/6/2023,AQS,371190041,4,14,ug/m3 SC,13,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/7/2023,AQS,371190041,4,15,ug/m3 SC,14,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/8/2023,AQS,371190041,4,23,ug/m3 SC,21,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/9/2023,AQS,371190041,4,20,ug/m3 SC,19,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/10/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/11/2023,AQS,371190041,4,6,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/12/2023,AQS,371190041,4,3,ug/m3 SC,3,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/13/2023,AQS,371190041,4,8,ug/m3 SC,7,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/14/2023,AQS,371190041,4,10,ug/m3 SC,9,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/15/2023,AQS,371190041,4,11,ug/m3 SC,10,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/16/2023,AQS,371190041,4,17,ug/m3 SC,16,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/17/2023,AQS,371190041,4,7,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/18/2023,AQS,371190041,4,6,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/19/2023,AQS,371190041,4,10,ug/m3 SC,9,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/20/2023,AQS,371190041,4,16,ug/m3 SC,15,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/21/2023,AQS,371190041,4,13,ug/m3 SC,12,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/22/2023,AQS,371190041,4,15,ug/m3 SC,14,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/23/2023,AQS,371190041,4,18,ug/m3 SC,17,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/24/2023,AQS,371190041,4,12,ug/m3 SC,11,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/25/2023,AQS,371190041,4,7,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/26/2023,AQS,371190041,4,11,ug/m3 SC,10,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/27/2023,AQS,371190041,4,12,ug/m3 SC,11,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
2/28/2023,AQS,371190041,4,28,ug/m3 SC,26,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/1/2023,AQS,371190041,4,28,ug/m3 SC,26,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/2/2023,AQS,371190041,4,18,ug/m3 SC,17,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/3/2023,AQS,371190041,4,17,ug/m3 SC,16,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/4/2023,AQS,371190041,4,6,ug/m3 SC,6,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/5/2023,AQS,371190041,4,11,ug/m3 SC,10,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/6/2023,AQS,371190041,4,22,ug/m3 SC,20,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/7/2023,AQS,371190041,4,25,ug/m3 SC,23,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/8/2023,AQS,371190041,4,9,ug/m3 SC,8,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/9/2023,AQS,371190041,4,13,ug/m3 SC,12,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/10/2023,AQS,371190041,4,16,ug/m3 SC,15,Garinger High School,1,100,81102,PM10 Total 0-10um STP,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
